[GIN] 2019/07/26 - 17:16:58 | 200 |    1.370862ms |       127.0.0.1 | GET      /dashboard
[GIN] 2019/07/26 - 17:16:58 | 200 |    6.296091ms |       127.0.0.1 | GET      /static/libs/bootstrap-sweetalert/sweet-alert.css
[GIN] 2019/07/26 - 17:16:58 | 200 |   10.026988ms |       127.0.0.1 | GET      /static/css/style.css
[GIN] 2019/07/26 - 17:16:58 | 200 |     899.664µs |       127.0.0.1 | GET      /static/js/jquery.min.js
[GIN] 2019/07/26 - 17:16:58 | 200 |      561.21µs |       127.0.0.1 | GET      /static/js/tether.min.js
[GIN] 2019/07/26 - 17:16:58 | 200 |     597.912µs |       127.0.0.1 | GET      /static/js/bootstrap.min.js
[GIN] 2019/07/26 - 17:16:58 | 200 |     320.684µs |       127.0.0.1 | GET      /static/libs/bootstrap-sweetalert/sweet-alert.min.js
[GIN] 2019/07/26 - 17:16:58 | 200 |     468.754µs |       127.0.0.1 | GET      /static/libs/switchery/switchery.min.js
[GIN] 2019/07/26 - 17:16:58 | 200 |    1.062494ms |       127.0.0.1 | GET      /static/libs/bootstrap-tagsinput/js/bootstrap-tagsinput.js
[GIN] 2019/07/26 - 17:16:58 | 200 |    1.604088ms |       127.0.0.1 | GET      /static/libs/waypoints/lib/jquery.waypoints.js
[GIN] 2019/07/26 - 17:16:58 | 200 |    3.196243ms |       127.0.0.1 | GET      /static/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0
[GIN] 2019/07/26 - 17:16:58 | 200 |     3.10903ms |       127.0.0.1 | GET      /static/fonts/fontawesome-webfont.woff2?v=4.6.2
[GIN] 2019/07/26 - 17:16:58 | 200 |    1.762919ms |       127.0.0.1 | GET      /static/fonts/Simple-Line-Icons.ttf?-i3a2kk
[GIN] 2019/07/26 - 17:16:59 | 200 |    2.289296ms |       127.0.0.1 | GET      /static/favicon.ico
