[GIN] 2019/08/04 - 11:05:09 | 200 |    1.513056ms |       127.0.0.1 | GET      /mail
[GIN] 2019/08/04 - 11:05:09 | 404 |      61.687µs |       127.0.0.1 | GET      /static/admin/images/xy.png
[GIN] 2019/08/04 - 11:05:13 | 500 |    6.271918ms |       127.0.0.1 | POST     /post/mail/sendEmail
[GIN] 2019/08/04 - 11:05:49 | 200 |    3.287001ms |       127.0.0.1 | GET      /setting
[GIN] 2019/08/04 - 11:05:51 | 200 |     788.018µs |       127.0.0.1 | GET      /get/setting/info?id=1
[GIN] 2019/08/04 - 11:05:53 | 200 |     741.204µs |       127.0.0.1 | GET      /get/setting/info?id=1
[GIN] 2019/08/04 - 11:05:53 | 200 |     453.875µs |       127.0.0.1 | GET      /get/setting/info?id=1
[GIN] 2019/08/04 - 11:05:53 | 200 |     507.924µs |       127.0.0.1 | GET      /get/setting/info?id=1
[GIN] 2019/08/04 - 11:05:53 | 200 |     662.646µs |       127.0.0.1 | GET      /get/setting/info?id=1
[GIN] 2019/08/04 - 11:05:54 | 200 |     632.459µs |       127.0.0.1 | GET      /get/setting/info?id=1
[GIN] 2019/08/04 - 11:06:00 | 404 |      48.352µs |       127.0.0.1 | GET      /static/js/jquery.min.map
[GIN] 2019/08/04 - 11:06:00 | 200 |    7.459827ms |       127.0.0.1 | GET      /static/css/style.css.map
[GIN] 2019/08/04 - 11:06:01 | 200 |     593.081µs |       127.0.0.1 | GET      /get/setting/info?id=1
[GIN] 2019/08/04 - 11:06:11 | 200 |     2.22663ms |       127.0.0.1 | GET      /setting
[GIN] 2019/08/04 - 11:06:11 | 304 |     330.228µs |       127.0.0.1 | GET      /static/css/style.css
[GIN] 2019/08/04 - 11:06:11 | 304 |     211.617µs |       127.0.0.1 | GET      /static/libs/bootstrap-sweetalert/sweet-alert.css
[GIN] 2019/08/04 - 11:06:11 | 304 |     212.715µs |       127.0.0.1 | GET      /static/libs/switchery/switchery.min.css
[GIN] 2019/08/04 - 11:06:11 | 304 |     236.271µs |       127.0.0.1 | GET      /static/images/avatar.png
[GIN] 2019/08/04 - 11:06:11 | 304 |     375.388µs |       127.0.0.1 | GET      /static/js/tether.min.js
[GIN] 2019/08/04 - 11:06:11 | 304 |     109.467µs |       127.0.0.1 | GET      /static/js/jquery.min.js
[GIN] 2019/08/04 - 11:06:11 | 304 |      130.74µs |       127.0.0.1 | GET      /static/js/bootstrap.min.js
[GIN] 2019/08/04 - 11:06:11 | 304 |     192.862µs |       127.0.0.1 | GET      /static/libs/bootstrap-sweetalert/sweet-alert.min.js
[GIN] 2019/08/04 - 11:06:11 | 304 |     303.235µs |       127.0.0.1 | GET      /static/libs/switchery/switchery.min.js
[GIN] 2019/08/04 - 11:06:11 | 304 |       138.1µs |       127.0.0.1 | GET      /static/js/jquery.core.js
[GIN] 2019/08/04 - 11:06:11 | 304 |     180.213µs |       127.0.0.1 | GET      /static/js/jquery.app.js
[GIN] 2019/08/04 - 11:06:11 | 304 |     146.595µs |       127.0.0.1 | GET      /static/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0
[GIN] 2019/08/04 - 11:06:11 | 304 |        97.5µs |       127.0.0.1 | GET      /static/fonts/fontawesome-webfont.woff2?v=4.6.2
[GIN] 2019/08/04 - 11:06:12 | 404 |      34.538µs |       127.0.0.1 | GET      /static/js/jquery.min.map
[GIN] 2019/08/04 - 11:06:12 | 200 |     266.272µs |       127.0.0.1 | GET      /static/favicon.ico
[GIN] 2019/08/04 - 11:06:12 | 200 |     544.962µs |       127.0.0.1 | GET      /get/setting/info?id=1
[GIN] 2019/08/04 - 11:07:18 | 200 |    2.366601ms |       127.0.0.1 | GET      /mail
[GIN] 2019/08/04 - 11:07:18 | 404 |      25.475µs |       127.0.0.1 | GET      /static/admin/images/xy.png
[GIN] 2019/08/04 - 11:07:18 | 200 |    2.148655ms |       127.0.0.1 | GET      /setting
[GIN] 2019/08/04 - 11:07:20 | 200 |     644.473µs |       127.0.0.1 | GET      /get/setting/info?id=1
[GIN] 2019/08/04 - 11:07:27 | 200 |    1.659376ms |       127.0.0.1 | POST     /post/setting/update
[GIN] 2019/08/04 - 11:07:27 | 200 |    1.897648ms |       127.0.0.1 | POST     /post/setting/checkSetting
